Metab,/Cr+PCr,/Cr+PCr CRLB,mMol/kg,mMol/kg CRLB,mM,mM CRLB,%CRLB,SNR,FWHM
Ala,0.015276040812475593,0.02895936834627321,0.15067962063597298,0.22235536385201932,0.12129122564073447,0.1789874071594535,147.5683061276135,0.2026351121898069,4.6997978113239025
Asp,0.4243334368364157,0.04629106822302277,4.185534856220906,0.4199224795682462,3.3691925326751795,0.3380212400718589,10.032707742097067,3.0209998701053857,4.417574450154227
Cr,0.4834260434277924,0.03276958404799445,4.76841177131187,0.2689341719528872,3.8383857462675617,0.21648153343607662,5.639910830915908,16.052256639452164,4.594656050065982
GABA,0.39314191210437494,0.04288756206509993,3.8778682840130636,0.38315025769288186,3.1215329256608535,0.3084210337402327,9.88043506460652,3.8191467253858606,5.173881413260306
GPC,0.1207518886683106,0.021918777275537836,1.1910709717899528,0.12078865582486063,0.9587657400765607,0.09723016322086842,10.141180390227989,11.976822178903006,4.6269767767377346
GSH,0.24531302767414173,0.022927872387905623,2.4197155794984675,0.13781475924483935,1.9477767935744446,0.11093551330722307,5.6954941486719735,6.3382684864148855,4.4171863616723765
Glc,0.06484382394144365,0.03715983648326752,0.6396057009813101,0.3196806218119692,0.5148576766479013,0.2573304489984156,49.98088999543027,0.802002338992005,10.537997968929847
Gln,0.41029888814951804,0.035474590702839065,4.047101050112468,0.300476637211573,3.257758710754634,0.24187198939029686,7.4244906042863175,3.4637402790674177,13.610876647383085
Glu,1.2597859947815342,0.038984497768059054,12.426261366176009,0.3401669279886534,10.002656396891473,0.2738211275290208,2.7374840908672646,12.140397031391382,13.0250615146551
Glyc,0.0,0.03978904225364378,0.0,0.3491127929882013,0.0,0.28102220041221515,999.0,0.0,0.0
Lac,0.2560044083663193,0.032488504660197016,2.5251730868819537,0.2655954597863707,2.0326659794482387,0.21379400018486974,10.51791107572448,3.609942680774148,4.6586872014773295
MM09,0.5837624088951966,0.04465122607655265,5.758108360252228,0.40227514376087903,4.635052951682412,0.32381582211065807,6.986237816185484,5.737489235329227,22.159983436717184
MM12,0.11796571464238648,0.07861757883136426,1.1635887432200218,0.7544506188100445,0.936643616510569,0.6073033622904831,64.83825348140087,1.1570151137246214,22.128144790578105
MM14,0.16594310406356697,0.25183104853298494,1.636827517967461,2.47752740279502,1.317582397531981,1.994313059557652,151.3615439378428,1.2878469702105457,27.69818239847652
MM16,1.045404125924367,0.498928563240757,10.311644164823168,4.918057498120019,8.30047191414243,3.958844727647063,47.694212673642596,3.6443805456195077,0.0
MM21,0.7217454995893096,0.2960111297132527,7.1191442474428595,2.914279557477856,5.730633828523064,2.34588153258091,40.93581273514218,2.669492170083087,0.0
MM30,0.1730686751040874,0.06380637101009981,1.7071126366301084,0.6032878669881829,1.3741591804500404,0.48562323486306797,35.33966383021399,1.701174218654497,22.13511736725593
MM39,1.9893175181625065,0.36475530886595714,19.6222052978821,3.59339767749285,15.795110979898737,2.8925451675422056,18.312914491220305,7.336959138496885,0.0
NAA,1.376049797573078,0.026448801086166367,13.573062812531033,0.18949325206638415,10.925786893290931,0.15253468715127122,1.396097952861742,46.20012435594088,4.556204781509226
NAAG,0.039712124098184615,0.024217532539322097,0.39171195385104624,0.1578244352707265,0.3153128656694897,0.12704252313118103,40.29094177982155,1.5102012826494755,4.9643512725817684
PCh,0.04828571653880838,0.022418252863217664,0.47628004792065604,0.12940056972278208,0.38338688746826155,0.10416241847464885,27.169009133957893,4.8578389215508455,4.553185663036807
PCr,0.5165739565722076,0.03150662674109479,5.095375743115061,0.2538255722215173,4.101579008322429,0.20431969913228337,4.98148880510902,17.340871388535668,4.551434721733971
PE,0.2227752979405665,0.056112121315988035,2.197408202348899,0.5236262667865028,1.7688280138413823,0.4214987495200434,23.82926696217741,1.632045337304691,15.6262755690027
Scyllo,0.028414125917632548,0.018763173842118595,0.2802709004596986,0.045821780951754466,0.22560715831848444,0.036884748907794265,16.349103983538022,1.897796661394427,4.573205092311738
Tau,0.22439757794841342,0.03587934741936446,2.213410027635204,0.3051166414943202,1.7817088599257629,0.24560701210974156,13.784912767396525,2.38204805648425,12.72237249904762
bHB,0.041143917981570466,0.0325905642357487,0.40583486448122047,0.2668092415913909,0.3266812586394109,0.21477104726110968,65.74330224990742,0.592176840618113,4.732354942082795
mI,0.802702994225948,0.039953360821105566,7.917691772239019,0.35093390376675304,6.373433482557881,0.28248812365668446,4.4322753886075255,17.398332579980266,7.317875448771883
Cr+PCr,1.0,0.025709003891407293,9.863787514426932,0.17931390161955998,7.939964754589992,0.1443407065272777,1.8179010989165436,,
